2018-05-08 10:15:24[platform] INFO [main] Environment.logEnv(100) | Client environment:java.library.path=D:\software\programming\java\jdk\jdk1.8\jre1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;D:/software/programming/java/jdk/jdk1.8/jre1.8/bin/server;D:/software/programming/java/jdk/jdk1.8/jre1.8/bin;D:/software/programming/java/jdk/jdk1.8/jre1.8/lib/amd64;C:\ProgramData\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;D:\software\programming\java\jdk\jdk1.8\bin;D:\software\programming\java\maven\apache-maven-3.5.3-bin\bin;D:\software\helpProgramming\svn_client\install\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Users\ThinkPad\AppData\Local\Microsoft\WindowsApps;;D:\software\programming\java\IDE\eclipse\eclipse-jee-mars-2-win32-x86_64;;.
2018-05-08 10:15:24[platform] INFO [main] Environment.logEnv(100) | Client environment:java.io.tmpdir=C:\Users\ThinkPad\AppData\Local\Temp\
2018-05-08 10:15:24[platform] INFO [main] Environment.logEnv(100) | Client environment:java.compiler=<NA>
2018-05-08 10:15:24[platform] INFO [main] Environment.logEnv(100) | Client environment:os.name=Windows 10
2018-05-08 10:15:24[platform] INFO [main] Environment.logEnv(100) | Client environment:os.arch=amd64
2018-05-08 10:15:24[platform] INFO [main] Environment.logEnv(100) | Client environment:os.version=10.0
2018-05-08 10:15:24[platform] INFO [main] Environment.logEnv(100) | Client environment:user.name=ThinkPad
2018-05-08 10:15:24[platform] INFO [main] Environment.logEnv(100) | Client environment:user.home=C:\Users\ThinkPad
2018-05-08 10:15:24[platform] INFO [main] Environment.logEnv(100) | Client environment:user.dir=D:\software\programming\java\IDE\eclipse\workspace\self_directory\temp_4_workspace\rpc-demo-parent\rpc-demo-consumer
2018-05-08 10:15:24[platform] INFO [main] ZooKeeper.<init>(438) | Initiating client connection, connectString=192.168.0.2:2181 sessionTimeout=5000 watcher=org.I0Itec.zkclient.ZkClient@638ef7ed
